city,timestamp,temperature,season
New York,2010-01-01,5.7204825394413685,winter
New York,2010-01-02,4.619621860270694,winter
New York,2010-01-03,4.44721611411725,winter
New York,2010-01-04,-8.126016780222646,winter
New York,2010-01-05,1.3281070554474061,winter
New York,2010-01-06,-0.8507787049063653,winter
New York,2010-01-07,1.3613542912591445,winter
New York,2010-01-08,0.4423727624786885,winter
New York,2010-01-09,6.19799676183201,winter
New York,2010-01-10,2.0476980329021766,winter
New York,2010-01-11,0.38283845295882446,winter
New York,2010-01-12,4.615543073595438,winter
New York,2010-01-13,0.37315231251183806,winter
New York,2010-01-14,1.4392191686291236,winter
New York,2010-01-15,-0.9082942959015043,winter
New York,2010-01-16,-3.682199624236138,winter
New York,2010-01-17,0.32000264715348614,winter
New York,2010-01-18,-2.4296770120886264,winter
New York,2010-01-19,-2.523272888923907,winter
New York,2010-01-20,6.348488994345792,winter
New York,2010-01-21,5.0651900159653005,winter
New York,2010-01-22,-2.8382710537587035,winter
New York,2010-01-23,-1.2513703186368397,winter
New York,2010-01-24,-12.399319786750432,winter
New York,2010-01-25,15.154768933583364,winter
New York,2010-01-26,6.37355325763164,winter
New York,2010-01-27,-2.942528114855922,winter
New York,2010-01-28,2.3439792155917067,winter
New York,2010-01-29,-2.2637219899174976,winter
New York,2010-01-30,-1.590952884049304,winter
New York,2010-01-31,1.4298210185334965,winter
New York,2010-02-01,-3.7767421765439817,winter
New York,2010-02-02,5.290862417674765,winter
New York,2010-02-03,8.8482709101833,winter
New York,2010-02-04,2.667670676777909,winter
New York,2010-02-05,-1.4415271689828693,winter
New York,2010-02-06,5.349382916539238,winter
New York,2010-02-07,1.8229666875251715,winter
New York,2010-02-08,-6.742384674812092,winter
New York,2010-02-09,1.5687931994403501,winter
New York,2010-02-10,-2.4926158292918563,winter
New York,2010-02-11,-9.429844304996518,winter
New York,2010-02-12,-0.07183338829262649,winter
New York,2010-02-13,-0.09573992553934124,winter
New York,2010-02-14,-8.66709857482808,winter
New York,2010-02-15,2.9695109343735693,winter
New York,2010-02-16,-1.2456930367635766,winter
